日期 最高气温 最低气温 天气 风向 风力
2018-05-01 28 21 雷阵雨 北风 1级
2018-05-02 25 13 阴 北风 3级
2018-05-03 27 13 晴 西北风 1级
2018-05-04 28 18 多云 东南风 2级
2018-05-05 22 18 中雨 东南风 2级
2018-05-06 23 16 大到暴雨 东风 2级
2018-05-07 18 16 阴 东北风 2级
2018-05-08 23 12 阴 东北风 1级
2018-05-09 25 14 晴 东北风 2级
2018-05-10 24 16 多云 东风 2级
2018-05-11 24 18 雷阵雨 东南风 1级
2018-05-12 22 18 雷阵雨 西北风 1级
2018-05-13 30 20 多云 东南风 1级
2018-05-14 32 24 多云 东南风 2级
2018-05-15 34 26 多云 南风 2级
2018-05-16 35 25 多云 西风 1级
2018-05-17 28 22 雷阵雨 西风 2级
2018-05-18 32 20 阴 东风 2级
2018-05-19 22 18 中雨 东风 2级
2018-05-20 20 18 阴 东风 2级
2018-05-21 21 18 阴 东南风 2级
2018-05-22 22 16 阵雨 西北风 2级
2018-05-23 27 16 晴 东南风 微风
2018-05-24 26 20 雷阵雨 东南风 2级
2018-05-25 21 18 大到暴雨 北风 2级
2018-05-26 24 19 阴 东北风 2级
2018-05-27 25 19 阴 东南风 1级
2018-05-28 30 22 多云 西南风 1级
2018-05-29 28 22 阴 西南风 1级
2018-05-30 29 21 阵雨 西北风 1级
2018-05-31 24 16 阵雨 西南风 1级
